Question,Characteristics,US1,US2,US3,US4,US5,AL1,AL2,AL4,AL4,AL5,AK1,AK2,AK3,AK4,AK5,AZ1,AZ2,AZ3,AZ4,AZ5,AR1,AR2,AR3,AR4,AR5,CA1,CA2,CA3,CA4,CA5,CO1,CO2,CO3,CO4,CO5,CT1,CT2,CT3,CT4,CT5,DE1,DE2,DE3,DE4,DE5,DC1,DC2,DC3,DC4,DC5,FL1,FL2,FL3,FL4,FL5,GA1,GA2,GA3,GA4,GA5,HI1,HI2,HI3,HI4,HI5,ID1,ID2,ID3,ID4,ID5,IL1,IL2,IL3,IL4,IL5,IN1,IN2,IN3,IN4,IN5,IA1,IA2,IA3,IA4,IA5,KS1,KS2,KS3,KS4,KS5,KY1,KY2,KY3,KY4,KY5,LA1,LA2,LA3,LA4,LA5,ME1,ME2,ME3,ME4,ME5,MD1,MD2,MD3,MD4,MD5,MA1,MA2,MA3,MA4,MA5,MI1,MI2,MI3,MI4,MI5,MN1,MN2,MN3,MN4,MN5,MS1,MS2,MS3,MS4,MS5,MO1,MO2,MO3,MO4,MO5,MT1,MT2,MT3,MT4,MT5,NE1,NE2,NE3,NE4,NE5,NV1,NV2,NV3,NV4,NV5,NH1,NH2,NH3,NH4,NH5,NJ1,NJ2,NJ3,NJ4,NJ5,NM1,NM2,NM3,NM4,NM5,NY1,NY2,NY3,NY4,NY5,NC1,NC2,NC3,NC4,NC5,ND1,ND2,ND3,ND4,ND5,OH1,OH2,OH3,OH4,OH5,OK1,OK2,OK3,OK4,OK5,OR1,OR2,OR3,OR4,OR5,PA1,PA2,PA3,PA4,PA5,RI1,RI2,RI3,RI4,RI5,SC1,SC2,SC3,SC4,SC5,SD1,SD2,SD3,SD4,SD5,TN1,TN2,TN3,TN4,TN5,TX1,TX2,TX3,TX4,TX5,UT1,UT2,UT3,UT4,UT5,VT1,VT2,VT3,VT4,VT5,VA1,VA2,VA3,VA4,VA5,WA1,WA2,WA3,WA4,WA5,WV1,WV2,WV3,WV4,WV5,WI1,WI2,WI3,WI4,WI5,WY1,WY2,WY3,WY4,WY5,METRO1,METRO2,METRO3,METRO4,METRO5
Free groceries in last 7 days,Yes,3143678,4816013,3920315,1105276,52402,87050,96768,9033,51723,,6158,14303,1787,3092,,66391,97354,72441,6000,,15768,85797,18816,26784,,460869,1019339,733695,100568,2276,61888,79590,47405,4349,,27908,36813,24875,11944,2404,22712,13227,7866,1761,,9440,9699,5230,19258,,148859,289466,445686,206714,2387,146618,82067,264929,7872,,10064,36106,12865,4765,,8566,24731,31745,2806,,122309,301612,158512,48749,7441,61261,58441,51768,11455,,45438,70055,17300,12837,,15465,60545,22373,18967,,24627,82435,23991,12918,,60279,81718,54236,62794,,20402,35262,31741,464,,146940,85486,49302,12456,6182,34021,121378,61821,13502,4833,105175,99272,140511,36111,,53013,63894,34403,25306,9838,7371,22110,21040,7201,,41475,44754,53345,26785,1449,3804,13298,21818,221,,7743,37998,15161,8497,471,34192,87504,31027,18926,440,21436,11260,15982,6992,2277,54884,97145,41329,28696,,62717,27552,28483,606,,170074,154243,173238,47909,,98741,105599,89595,52100,5795,6572,14185,1501,999,500,129416,211592,69794,31835,,27946,53717,43395,,,83157,95410,15008,32448,,114652,133308,160250,12865,,6140,8400,11773,668,,30444,36735,5316,,,7664,9894,5244,1771,,89537,72333,74203,30165,,202677,264779,508530,22454,5568,7479,34097,19969,8542,,6322,9391,948,682,,22411,129018,63899,20379,,101600,111303,80044,6582,368,7345,10914,22696,8419,,32763,63542,20345,25918,,3898,10573,4050,421,173,218098,162401,132662,54506,
"Frequency of feeling down, depressed, or hopeless",Did not report,2701769,1963108,902386,256868,39570621,32284,1311,27697,5026,588021,7249,3631,3028,351,59853,83807,32673,14003,,713901,50140,10821,1595,3919,386515,393786,498767,126999,20907,4476973,22320,16001,6881,2823,594020,46199,18560,9426,2315,464416,3698,10376,6230,,101454,4092,1369,9310,,31055,170577,140242,113141,15578,3037099,40348,54097,61415,,1383485,17866,9001,7228,,119260,10351,5760,4051,502,166766,53942,37368,23092,,1511563,59270,12789,1510,5796,939892,23345,6448,15855,7959,333196,19633,29729,,3499,327366,47159,23698,6478,1198,628912,29609,56496,11385,9994,763416,13704,410,,815,113137,41244,63698,2493,12035,459298,63987,44481,27055,11560,830745,53563,11230,65969,5994,1302687,29353,13029,34285,15153,549507,11269,13211,10818,,326943,37848,48071,36540,31352,618482,12319,12471,2957,,75535,17972,14334,3439,1191,224229,19955,25544,972,1809,371136,6649,3917,441,,111194,64695,60463,10458,,1285430,20041,39193,4100,,267598,147851,121850,,,2595384,57598,87564,88821,,1441932,6793,4431,,822,76034,148017,10160,6830,18216,1038583,20215,22797,,2100,403032,28280,4039,,,414210,218844,45974,35790,1329,1634351,5117,3513,703,1176,132067,54573,22852,5381,,818795,7646,588,,,70901,38755,54204,26364,,853167,165528,153836,56025,72229,4045817,35010,17792,,330,252296,6683,8452,3091,,52205,135619,35387,5017,888,994808,47866,35742,,,663036,7379,4869,,,232348,58121,2078,22782,,608773,3597,7793,2733,,79797,128367,112086,,,2717649
"Frequency of feeling down, depressed, or hopeless",More than half the days,6996908,7079400,2965213,726547,52394,90073,76581,28176,27694,,11750,11060,7885,1708,,97755,111964,40278,3849,,69194,55431,14200,21219,,835572,855113,454357,52331,,121340,132984,72696,21651,,64256,42745,12943,13763,,15073,27241,4014,188,,18549,10362,5865,1043,,402268,385580,231799,37087,,225923,229746,67560,21454,,28182,79017,12559,755,,31112,31259,23143,6072,,241211,287751,69079,34003,,101080,147631,45526,23476,,57884,55605,28523,9832,,58018,46742,54919,8840,,103648,157435,49995,48164,2936,70467,106897,108211,34846,,28710,40933,15188,,,254418,107497,51795,22631,,107276,87728,47377,,4833,171239,211881,81091,25625,,99019,128396,41839,4212,,28710,69019,7853,2907,,82418,135992,34833,47040,,25588,19570,11001,11291,,51509,36669,8138,2634,1149,72864,47579,52648,3284,2047,39739,18276,28116,1656,2460,344393,153294,24817,7113,24413,74824,39806,35655,529,,362378,317602,56225,31070,,204181,205387,177650,37389,1439,10684,31932,1966,1502,,186509,296738,110910,10811,5197,100720,134791,2644,7431,,172048,107964,57408,6032,,258781,314498,170745,,,18028,13930,4760,4103,,80547,92906,12387,6738,,20707,18660,5547,3487,,131107,131192,36105,27030,,740520,869823,306601,60101,6510,97658,75015,18540,4435,363,10919,13879,5650,,,213941,201660,83331,11080,,154570,127281,39850,17828,368,50259,34471,24674,327,,148870,135199,73385,,,10417,8688,4754,285,677,439270,248409,62828,19170,24413
"Frequency of feeling down, depressed, or hopeless",Nearly every day,6321844,7332293,3987087,2634178,127992,96558,177694,77157,42139,,16572,23972,2201,6048,,137046,153508,93645,85155,,31998,57819,23843,27801,,783555,681793,322389,213707,,104625,146535,55799,31063,,76062,48644,27438,37164,1751,5282,21971,12005,8822,284,26810,8093,9600,19193,,326208,758057,312761,334812,,223565,236956,205547,67201,,14531,30788,5803,3501,,46674,39173,27706,7222,2260,228975,397210,184652,200432,,178592,148138,42594,41046,,66451,67466,30143,7754,,34098,74253,43685,35773,,93699,152694,67785,28360,1707,56153,70664,23705,116668,,31672,40100,14012,6326,,117061,178214,36955,21554,1307,186860,131055,73261,37446,543,125897,175658,120608,81128,,82625,77329,54730,19474,5380,33857,105452,53511,57469,,146597,168390,61004,86324,,26368,20553,11466,2012,1965,20269,39431,17660,13897,,32231,59292,92178,31562,888,26478,44754,18128,5373,,193062,169652,41298,10174,597,35205,68813,51621,9588,,392129,306312,229627,169741,,237537,173572,104054,29222,,13731,14318,1886,14806,,171437,215796,165385,121767,,91935,79557,88535,16955,2190,112560,121823,30178,51133,,207313,274734,269888,78039,,25773,28926,12909,265,,74630,144984,29916,32730,,24149,25488,6945,4500,,119476,126127,110058,73247,,609554,570896,410117,173095,108947,81153,82702,42041,9985,,17175,6653,183,14203,,205104,151907,47219,54403,,183022,184761,84664,64577,,19910,94862,65441,14400,,120855,140261,69217,13778,,8769,14498,3933,1143,173,307895,289927,189682,123784,
"Frequency of feeling down, depressed, or hopeless",Not at all,85848215,18905273,4093281,870334,665212,1190770,353576,26776,26975,,201834,49375,5109,2669,87,1987879,516800,140109,13914,30756,707601,188402,49665,8479,,9873407,1886608,422350,56740,39697,1712278,366802,45881,5311,,994282,210346,51674,22231,10603,269660,86152,14481,,1779,180704,21784,7919,2037,1180,5052015,1360188,420268,64112,115697,2573393,765582,311984,32288,5029,395346,88330,13843,,4039,544372,116305,27672,7227,3059,3319556,809350,189110,3407,7639,1794980,284416,115584,20868,29773,948798,198766,21957,2238,5543,754043,176978,30077,5003,10826,1069395,199677,39760,11722,,910703,343271,67822,9777,2785,420814,89867,9585,265,6059,1735648,281248,141599,2327,17641,1980601,379189,70149,10475,17129,2803790,569940,68515,28103,11609,1731801,370124,14415,18386,25628,659304,205119,48108,15148,13892,1753545,256884,44516,15868,20090,338236,66799,22487,6424,,534025,85949,30941,6029,4863,739781,218847,70063,,2885,445832,66852,7395,1596,4103,2418388,482611,116201,38218,9547,457208,91157,58852,496,6467,5052594,1175259,362205,137712,17365,2634353,561040,127210,6381,59515,200337,38839,11143,2324,500,3481509,772300,105500,24060,15804,865041,234784,49670,24883,1367,1148287,217695,26129,14069,8740,3411559,810972,105078,31287,17911,324410,48668,15089,,6970,1490565,272090,71288,31088,14403,274141,55790,11024,2448,551,1731021,513073,67400,26434,7029,6880657,1396914,213528,44026,74931,847568,182762,26332,,166,202940,30918,9880,3670,2729,2331499,465648,50064,10466,4015,2222448,466217,88415,7362,17714,322824,150586,5731,,5785,1774716,289062,38590,61451,1049,151753,35362,4139,4340,263,5089770,893498,338557,161952,17641
"Frequency of feeling down, depressed, or hopeless",Several days,32361669,18522384,6087625,1177398,331013,421612,335673,170289,38378,,75335,28657,10122,2689,147,782746,379173,166148,30987,21785,249917,250301,49700,10969,1715,4405996,2042190,1022462,122077,50398,680200,261881,84345,22561,4379,434520,158878,29333,10941,,122739,42499,28591,2807,,110250,11721,7694,2159,,1874794,1657584,392297,150275,301,793836,569854,200496,49666,12947,124183,92721,38405,3466,5810,179713,135642,34709,1865,3280,978651,835905,126763,10374,1086,661439,308516,101343,13672,5251,261074,192692,39495,2498,,279895,160870,16226,,,313522,242672,85535,12492,3317,199849,279959,106990,11801,33246,139628,92919,32609,4953,,728798,349265,48214,6113,2732,763489,381113,95884,11148,15828,1035567,526025,203489,39137,,687045,221375,58690,10828,,184597,255946,74134,5125,,647204,246833,101199,40588,2259,116018,55367,25350,,862,185799,119719,21038,3158,,267752,270668,44932,7360,12961,140766,105259,26861,4163,,964629,464759,145228,44455,17969,188957,108304,29774,23403,2440,2056468,1020468,295093,144908,4251,1074937,569655,134955,93349,5277,79029,34614,15753,2246,1566,1226051,596580,175913,8228,,373675,319855,90219,11595,15586,513814,245211,33733,13568,,1275234,485379,187899,70507,14052,121005,68340,13292,1177,,412354,280818,70833,4303,646,69841,46133,4817,3507,,682325,457673,100447,43010,3452,2276754,1586418,963272,19298,71407,368660,216930,41923,8270,1081,70202,37266,11343,138,781,878694,480655,171072,32050,1762,1048768,428615,79541,5283,3298,168183,150331,26139,1484,2689,619281,272282,45555,13692,5876,45876,40223,7480,677,576,2175545,929649,264551,114241,21323
"Frequency of feeling nervous, anxious, on edge",Did not report,2507134,1931759,819404,237503,39514949,32284,1311,10124,5026,588021,6980,3631,3028,351,59853,86270,31958,18667,,712309,50642,10821,1595,3919,386515,390826,499811,120294,13866,4486878,22320,14872,1117,7599,594020,48867,19786,9426,2315,462585,3466,8749,6230,,101454,4623,1369,8150,,31055,143156,135808,113141,15578,3037099,46838,54985,61415,,1383485,16109,9001,7228,,119260,10691,5760,4051,502,166766,43283,45631,23092,,1511563,48188,13503,1510,5796,932114,24226,22446,15855,7959,333196,19633,30704,,3499,327366,44171,23698,3701,1198,628912,26385,51297,2920,9994,763416,10799,410,,815,113137,34146,57884,2493,,459298,60239,50664,27302,11560,830745,54674,11230,65969,5994,1299338,30697,13029,34285,15153,549507,4047,13211,10818,,326943,30895,48071,36540,31352,618482,12319,12341,2957,,74454,12208,13271,3439,1191,224229,21778,25544,972,1809,371136,8780,3917,441,,111194,46214,50396,10458,,1285430,27124,40393,6750,,264598,147325,73009,,,2570555,49355,87564,44403,,1441932,6589,4431,,822,76034,151365,10160,6830,13151,1038583,21985,37404,,2100,403032,28158,4039,,,414210,138410,49091,35790,1329,1634351,4257,3513,,1176,132067,54573,22852,5381,,818795,8172,588,,,70901,37172,54204,26364,,853167,150922,156308,52290,72229,4037855,34768,13473,,330,252296,6683,8207,3091,,52205,137356,31361,5017,888,983854,42416,35313,,,663036,6457,4869,,,232348,54697,2078,23538,,608773,3597,7793,2733,,76597,116149,53178,,,2702921
"Frequency of feeling nervous, anxious, on edge",More than half the days,9654357,7281182,3274545,701366,123963,87734,82425,52896,28766,,21102,8798,6146,808,,285595,205005,53841,32254,,110244,67008,42831,31048,,1106856,742562,354010,67440,,220577,163663,56379,6039,4379,128841,50447,12445,7299,,47671,20111,6992,,,32673,5482,3863,1043,,456347,441872,299784,110884,,289964,264902,78159,37344,,33186,19951,13311,4221,,40364,46803,13565,1594,,275580,197498,51473,38099,,159620,118350,33670,6003,7778,104192,44120,41471,15001,,60516,60789,26498,8840,7671,150840,152559,41754,21381,,110373,108065,116737,5282,,55414,31867,18041,1968,,189614,129029,52753,11104,1012,189290,147941,47797,11016,,213288,251001,72872,7683,,231180,156168,41537,,,43173,77059,53269,3893,,201134,113556,53102,12757,,40404,28188,8436,2348,,45777,52775,12154,3199,,82766,72458,61206,,,35147,51614,18898,964,2460,310810,112685,15879,7113,24413,77768,58758,48167,529,,772267,539434,196202,,13455,285162,254546,32475,19356,6716,20127,26354,8780,1502,,376126,239262,73740,6560,5197,154647,174005,43751,2014,,243241,87382,59316,3508,,302322,250212,190856,2720,,33571,15999,7871,3434,,133380,86552,22660,,,23940,27824,3093,5520,,286803,137594,47568,37183,,637580,688833,578016,80009,46298,140517,91265,24875,5691,363,18218,13219,843,305,,212055,208195,73055,14064,1655,306534,168034,50930,17981,2565,50182,66784,18551,542,,203567,112500,27627,14769,,16074,9677,4399,285,,828745,372503,154402,5932,27768
"Frequency of feeling nervous, anxious, on edge",Nearly every day,11264396,11642007,5580571,2707046,76851,120496,220138,104935,23651,,26199,29769,5216,7130,,223401,238091,140126,86567,,72387,90808,46626,29472,1100,1508598,1332664,625286,248262,2276,199993,234401,123971,45542,,129106,100730,30346,44045,1751,16794,28647,13279,9159,284,46953,15691,13576,19193,,842139,989497,574327,285254,1422,345346,369540,258410,71201,,27265,50886,12672,3501,,66761,72777,37633,11362,652,446078,618396,247837,125345,,278225,227686,60336,37700,,85682,110411,24667,797,,107061,117989,75087,26459,,124416,159170,99327,64825,4643,96729,150167,73828,156402,,70597,78210,6124,8145,,212269,239237,66226,19224,1307,300596,269345,114909,28204,8237,250310,263175,135494,111133,,163257,130171,82904,23686,9838,50898,155820,37416,59102,,250107,249720,86086,97992,,43068,26579,26213,10094,3047,55781,63152,31172,13789,1149,87644,75925,88332,29796,6117,50530,45290,17296,9536,,418570,348949,100966,13926,,90542,78425,32267,7874,,547788,377605,226707,216360,,441249,312175,195001,29222,,19923,26575,8161,15496,,333300,496672,225355,69061,,106654,149323,106804,29277,2190,199640,196929,43397,68203,,375350,420037,303052,61583,,37062,40184,9242,1219,,116032,212174,36008,49061,,41770,29649,9572,3336,,184126,266525,108732,93480,,954899,944713,520079,147953,30748,133582,118599,46900,8255,,29098,19078,6743,14231,,386552,255623,72295,45657,1187,311387,249353,102566,64170,730,45268,119101,71143,14338,,175354,193165,88976,45956,,17562,33075,6945,1820,173,563172,393541,228100,93186,
"Frequency of feeling nervous, anxious, on edge",Not at all,72928301,14298004,3172808,1065807,770073,1083250,249100,50714,60324,,173149,40553,8043,1865,,1659765,280548,84954,7917,30756,572745,151356,12412,3019,615,8204800,1474403,383720,49774,57160,1402353,247016,47874,,,877477,112244,19590,20340,12434,231526,68676,10903,,336,120321,13224,4493,3954,1180,4362114,884478,231392,90960,114276,2162980,550533,215885,14919,7633,334192,91906,31538,,9849,434132,92778,17733,4496,3059,2733082,719613,83451,58882,7462,1599610,253469,82548,22384,29773,738237,144046,18069,2238,1008,630134,114732,19968,13033,3155,837987,180707,64581,12541,,681941,212979,66245,8209,36031,326148,46185,8862,,6059,1443718,233730,134298,23553,10398,1578284,270173,50386,8700,17129,2529514,405178,66375,55177,12956,1507017,236115,14515,17338,21170,573907,175014,24478,15148,13892,1595689,189415,34785,10216,22349,282260,42194,9474,,,429517,67584,24339,7191,4863,643924,220132,57333,11832,10068,373763,44882,8469,,1881,1907482,426733,60872,29998,9547,367646,88246,54826,1822,9466,4460619,941350,271259,216590,32093,2430275,389392,115506,3590,54020,184099,21445,4400,2324,,2869478,544131,65337,86569,15804,733667,206103,34085,23094,1367,909638,154672,23532,457,8740,3027172,552097,108623,39505,17911,287953,37494,10428,,416,1263115,198851,47202,5822,14403,232625,34238,6858,2448,551,1495555,384768,80249,22720,7029,6096106,1366815,206745,54721,136113,672284,126921,28672,,166,158025,17474,14585,2050,2346,1994731,318533,91134,25437,2360,1821619,259989,33973,9879,13899,292161,138657,10783,,5785,1474561,243242,13524,10913,1049,125955,33889,2786,3857,1517,4315753,752517,257924,235240,32369
"Frequency of feeling nervous, anxious, on edge",Several days,37876217,18649506,5188264,953605,261396,507532,391860,111426,22445,,85311,33944,5913,3313,234,834202,438516,156594,7166,23377,302833,242781,35539,4929,,5081237,1915031,865248,86420,20753,795519,264251,36260,24228,,431026,195965,59006,12416,,116993,62056,27917,2658,1444,135835,17563,10307,242,,2022107,1849997,251623,99190,301,1011937,616275,233134,47145,10344,169356,128113,13090,,,260274,110021,44300,4933,4888,1324313,786446,186843,25891,1262,709718,288483,128491,32975,5251,405213,199953,35909,4286,4535,328343,164359,23354,1283,,470009,260042,40189,1991,3317,351354,334777,58383,3200,,171571,107557,38366,1432,,997420,320042,25285,10779,8962,973804,285443,73333,11148,12967,1142270,564150,198962,,2003,697692,274770,30717,11875,,245713,227641,68443,2505,,589787,255408,67578,68856,,140478,65457,26181,7287,862,266292,99319,10112,1538,,296472,227871,52951,578,2596,191243,93355,35837,2288,2222,1302092,392016,149828,48922,18566,213155,81451,37992,23790,2440,2083421,1010092,248982,50481,897,1002565,553540,245306,114173,5495,79835,45329,9407,1556,2067,1483253,601350,193274,7740,,434633,224949,46427,6479,15586,594312,253710,21202,12635,,1528478,660120,131079,76024,14052,131489,66187,19212,891,6554,545568,293221,78553,19977,646,89976,54360,8809,2639,,699028,439177,77463,16337,3452,2833507,1421217,592413,13837,56599,448899,224942,28388,8744,1081,95895,39190,4884,1425,1164,1034162,521544,115201,22840,11528,1174718,529927,105002,3020,4186,174486,105708,21509,1330,2689,813665,287897,95864,17283,5876,57224,22131,6177,484,3200,2317029,901830,215191,84789,17969
Frequency of having little interest or pleasure in doing things,Did not report,2718984,2097449,862233,254718,39561326,32284,7308,28465,5026,588021,7705,3631,3028,351,59940,86672,32673,14003,,715886,50140,10821,1595,3919,386515,407177,587369,126999,13866,4476973,22320,18649,1117,2823,594020,46199,18560,9426,2315,464416,7192,12676,6230,,101454,4092,2885,8150,,31055,160054,141591,113141,15578,3037099,45845,58956,61415,,1383485,16109,9001,7228,,119260,10182,8763,4051,502,166766,51460,48425,10471,,1511563,43606,12789,22399,5796,939892,22666,6448,15855,7959,333196,20990,31780,,3499,327366,38244,23698,3701,1198,628912,29911,55487,2920,9994,774162,10799,410,,815,113137,41244,57884,2493,12035,459298,68570,47301,27055,11560,830745,77391,11230,65969,7712,1302687,29353,13029,34285,15153,549507,4047,13211,10818,,326943,35176,48071,36540,31352,618482,12319,11847,2957,,75535,20903,14334,3439,1191,224229,22217,27090,972,1809,371136,6649,3917,441,,111194,57998,50396,10458,,1285430,28072,39193,8977,,266540,169238,124332,,,2585283,69073,97077,44403,,1441932,7545,4431,,822,76034,152048,10160,6830,18216,1038583,20215,22797,,2100,403032,28280,6083,,,414210,184909,45974,35790,4503,1634351,5032,3929,703,1176,132067,69103,22852,5381,,818795,7996,588,,,70901,29745,56798,26364,,853167,157438,153799,64544,72229,4045817,35252,18757,,330,252296,6683,8452,3091,,52205,137979,37423,5017,888,983854,50992,37033,,,663036,6457,7670,,,232348,59663,2078,22782,,608773,3750,7793,2733,,79797,149846,102019,,,2717649
Frequency of having little interest or pleasure in doing things,More than half the days,7616395,7887746,2964021,844639,61816,90815,115443,30473,4737,,13318,14313,3667,1415,,110627,141035,94428,5448,,50392,92631,26786,25128,1100,1057734,893647,369108,115285,,144838,181489,43271,4561,,68298,47917,12187,17712,1751,26893,26811,4970,188,,38298,3506,6340,1043,,437678,460176,243061,67769,,206444,344180,98670,33772,10344,31023,61853,3301,3466,,42983,57959,25290,1357,652,332158,320965,96963,74742,,163926,135702,46392,12698,,100577,63314,26959,6277,,48231,57888,25052,8577,,122592,179362,62625,12367,,68033,100533,101588,13503,,28737,44164,15685,,,100736,167178,25173,4440,,159332,182307,64659,11016,4833,198533,277576,68951,28660,,103395,140654,56731,4212,5380,41869,109520,21429,5239,,113379,122625,36317,49600,,22652,26613,14462,9634,,51029,47491,7013,6702,,62679,66536,63916,4895,2935,30513,30263,11327,2288,2277,360966,107661,66525,5932,24413,58078,51566,21172,720,,368820,384345,77685,12991,,282606,207722,130279,61814,,13913,28194,7788,321,,294446,297066,123512,7238,5197,101585,163809,46408,4396,,244461,126971,46651,8614,,223397,248672,248088,1517,,30901,28190,6407,3720,,96966,146541,9334,6386,,19453,31156,5962,868,,128678,224213,46421,50273,,594142,647630,243081,97059,,94695,99508,17458,2764,,10277,6600,1554,442,,169703,183722,49299,13859,,209606,206195,35104,19479,2933,48925,56807,12111,8880,,184142,110074,56884,,,12921,17451,5504,634,,524024,210086,109619,5932,24413
Frequency of having little interest or pleasure in doing things,Nearly every day,6023980,7024492,4060067,2398983,43421,86913,177740,78855,42139,,15924,18293,2633,6127,,135255,159566,78651,87467,,41543,64831,20250,23967,,698533,724585,452744,142140,,82896,102782,57855,36015,,60549,50771,29420,20986,,10286,17443,11889,7061,284,15505,7516,10865,20236,,267838,761572,314844,292755,,246913,172866,216161,57588,,14330,30069,15097,3501,,29765,34997,26402,11362,,146943,318433,196049,133136,,174322,199836,42552,39624,,39538,58126,28968,6603,,43307,87610,65726,24529,,63397,147154,54825,70624,2936,50132,73256,58075,140634,,38431,51725,10512,8294,,110359,119920,68979,19224,1307,184665,136226,61090,32613,2907,121618,182204,124020,77966,,74696,88141,53619,19474,,51056,72596,74510,55226,,119596,175283,45920,45796,,30975,21251,12560,8437,1965,17221,35025,17455,11449,,49207,59501,78442,29951,,31674,43511,9895,10500,,170516,233201,65924,6180,597,34522,51626,44387,8403,1219,459866,291223,186174,178464,,228120,163105,72433,36768,1439,13728,14278,3201,14970,,164615,191679,148878,121767,,81423,90989,61960,14532,2190,84730,101024,29693,58908,,239122,252995,218969,64076,,27751,30159,11503,933,,73480,154891,41976,40208,,29488,20256,6530,4067,,116966,120261,105851,56223,,678111,495583,400318,158333,27727,61296,59428,33213,9985,,14474,9729,11980,13898,,189669,135317,70015,46216,,171310,165333,81043,56663,,20765,114663,74719,3980,,104566,126597,69138,17842,,6073,9325,3295,1143,850,372480,375960,182805,115981,
